Product Name,Price (MYR),Minimum Order Quantity (MOQ),Lead Time,Supplier Email,origin_country
ThermalPad Laptop Cooler,RM65.42,50 units,10 days,cooling@gmail.com,Myanmar
MagStream 3-in-1 Charger,RM107.06,100 units,15 days,jjh@gmail.com,Germany
NeoCam 4K Action Camera,RM200.97,40 units,18 days,jrgs63@gmail.com,Philippines
NanoNode Microcontroller Kit,RM49.56,500 units,10 days,hjhj@gmail.com,Kazakhstan
Strawberry Jam (Premium),RM55.00,50 units,7 days,strawberry_sales@fruitsupply.com,Malaysia
Strawberry Jam (Premium),RM55.00,50 units,14 days,strawberry@gmail.com,Vietnam
Durian Paste (Musang King),RM380.00,20 units,5 days,durian_export@gmail.com,Philippines
Durian Paste (Musang King),RM410.00,20 units,5 days,orders@gmail.com,China
All-Purpose Flour,RM85.00,100 units,10 days,wholesale@gmail.com,Philippines
All-Purpose Flour,RM82.50,100 units,10 days,supply@gmail.com,Malaysia
Durian Paste (D24),RM45.00,50 units,7 days,info@gmail.com,Malaysia
Durian Paste (D24),RM49.50,50 units,7 days,ddurian@gmail.com,Bangladesh
Salted Butter (5kg),RM142.50,10 units,3 days,dairy@gmail.com,Myanmar
Salted Butter (5kg),RM142.50,10 units,5 days,bbbutter@gmail.com,Malaysia
Cocoa Powder (Alkalized),RM35.00,20 units,10 days,orders@cocoachoc.com,China
Cocoa Powder (Alkalized),RM38.50,20 units,10 days,coco@gmail.com,Nepal
Palm Oil (Refined),RM34.00,100 units,14 days,palmmm@gmail.com,Malaysia
Granulated Sugar (50kg),RM142.50,50 units,5 days,sugar_dist@gmail.com,Philippines
Condensed Milk (Crate),RM100.80,40 units,3 days,milk_supply@gmail.com,Mongolia
Mango Puree (20kg),RM360.00,15 units,10 days,puree_global@gmail.com,Malaysia
Bread Flour (High Protein),RM95.00,100 units,7 days,breadd@gmail.com,Bangladesh
Coconut Milk (Santan),RM90.00,60 units,3 days,coconut@gmail.com,Myanmar
Strawberry Jam (Premium),RM52.00,50 units,7 days,logistics@gmail.com,Germany
Durian Paste (Musang King),RM380.00,20 units,10 days,durian_export@gmail.com,Philippines
All-Purpose Flour,RM85.00,100 units,14 days,durian_export@gmail.com,Kazakhstan
Salted Butter (5kg),RM150.00,10 units,3 days,logistics@gmail.com,Malaysia
Granulated Sugar (50kg),RM145.00,50 units,5 days,sugar@gmail.com,Vietnam
Condensed Milk (Crate),RM100.80,40 units,7 days,milk_supply@gmail.com,Philippines
Bread Flour (High Protein),RM95.00,100 units,10 days,tech@gmail.com,China
Coconut Milk (Santan),RM88.00,60 units,3 days,wholesale@gmail.com,Philippines
Palm Oil (Refined),RM34.00,100 units,7 days,supply@gmail.com,Malaysia
Strawberry Jam (Premium),RM60.00,50 units,14 days,berry@gmail.com,Malaysia
Durian Paste (D24),RM45.00,50 units,3 days,admin@gmail.com,Bangladesh
Salted Butter (5kg),RM142.50,10 units,7 days,dairy@gmail.com,Myanmar
Cocoa Powder (Alkalized),RM31.50,20 units,10 days,discount@gmail.com,Malaysia
Condensed Milk (Crate),RM95.00,40 units,7 days,milk_supply@gmail.com,China
Mango Puree (20kg),RM396.00,15 units,14 days,puree_global@gmail.com,Nepal
Bread Flour (High Protein),RM104.50,100 units,7 days,tech@gmail.com,Malaysia
Coconut Milk (Santan),RM90.00,60 units,5 days,coconut@gmail.my,Philippines
Palm Oil (Refined),RM37.40,100 units,14 days,sales@gmail.com,Mongolia
Palm Oil (Refined),RM37.40,100 units,14 days,yyyppp@gmail.com,Malaysia
Formal Blazer,RM258.88,10 units,10 days,chia.carlorino@yahoo.com,Bangladesh
Silk Hijab,RM233.19,5 units,6 days,zalora.procurement@yahoo.com,Myanmar
Silk Hijab,RM250.59,10 units,18 days,vincci.procurement@gmail.com,Germany
Denim Jeans,RM170.25,10 units,7 days,sales.seed@outlook.com,Philippines
Silk Hijab,RM157,10 units,16 days,hm.procurement@yahoo.com,Kazakhstan
Chiffon Dress,RM132.15,50 units,8 days,chia.vincci@yahoo.com,Malaysia
Baju Kurung Modern,RM207.11,10 units,6 days,sales.vincci@gmail.com,Vietnam
Silk Hijab,RM80.49,20 units,14 days,sales.hm@outlook.com,Philippines
Batik Slim Fit,RM185.67,50 units,8 days,chia.seed@yahoo.com,China
Silk Hijab,RM144.96,20 units,4 days,bonia.procurement@outlook.com,Philippines
Baju Kurung Modern,RM219.61,10 units,10 days,sales.zalora@gmail.com,Malaysia
Formal Blazer,RM66.27,10 units,8 days,uniqlo.procurement@yahoo.com,Malaysia
Denim Jeans,RM287.19,10 units,17 days,lim.bonia@yahoo.com,Bangladesh
Baju Kurung Modern,RM108.27,5 units,18 days,tan.carlorino@yahoo.com,Myanmar
Chiffon Dress,RM212.16,10 units,12 days,tan.padini@outlook.com,Malaysia
Baju Kurung Modern,RM70.45,5 units,18 days,carlorino.procurement@yahoo.com,China
Baju Kurung Modern,RM195.20,50 units,17 days,uniqlo.procurement@outlook.com,Nepal
Silk Hijab,RM247.33,20 units,16 days,zulkifli.bonia@outlook.com,Malaysia
Formal Blazer,RM67.16,5 units,15 days,chia.seed@gmail.com,Philippines
Formal Blazer,RM123.24,50 units,10 days,zulkifli.padini@gmail.com,Mongolia
Denim Jeans,RM267.16,20 units,7 days,sales.carlorino@gmail.com,Malaysia
Batik Slim Fit,RM264.40,50 units,12 days,abdullah.seed@gmail.com,Bangladesh
Formal Blazer,RM233.76,50 units,13 days,chia.uniqlo@outlook.com,Myanmar
Silk Hijab,RM51.25,5 units,9 days,wong.padini@yahoo.com,Germany
Cotton T-Shirt,RM273.52,20 units,16 days,carlorino.procurement@outlook.com,Philippines
Cotton T-Shirt,RM221.57,10 units,14 days,sales.bonia@yahoo.com,Kazakhstan
Chiffon Dress,RM266.73,50 units,15 days,seed.procurement@outlook.com,Malaysia
Denim Jeans,RM138.34,5 units,6 days,abdullah.seed@yahoo.com,Vietnam
Chiffon Dress,RM86.16,50 units,10 days,aziz.seed@yahoo.com,Philippines
Silk Hijab,RM219.22,20 units,8 days,padini.procurement@gmail.com,China
Pharmaniaga,RM52.96,200 units,7 days,zulkifli.pharmaniaga@yahoo.com,Philippines
Kotra Pharma,RM11.95,100 units,9 days,sales.kotrapharma@yahoo.com,Malaysia
Apex Healthcare,RM31.41,50 units,5 days,apexhealthcare.procurement@gmail.com,Malaysia
CCM Berhad,RM111.65,100 units,2 days,ramasamy.ccmberhad@gmail.com,Bangladesh
Pharmaniaga,RM83.63,50 units,7 days,wong.pharmaniaga@gmail.com,Myanmar
CCM Berhad,RM50.39,50 units,6 days,sales.ccmberhad@gmail.com,Malaysia
Kotra Pharma,RM11.01,200 units,7 days,aziz.kotrapharma@outlook.com,China
Pharmaniaga,RM69.68,200 units,6 days,aziz.pharmaniaga@gmail.com,Nepal
Apex Healthcare,RM117.09,50 units,9 days,sales.apexhealthcare@gmail.com,Malaysia
Hovid,RM23.11,200 units,8 days,lim.hovid@gmail.com,Philippines
Kotra Pharma,RM96.61,100 units,9 days,kotrapharma.procurement@gmail.com,Mongolia
Apex Healthcare,RM112.22,50 units,2 days,apexhealthcare.procurement@outlook.com,Malaysia
CCM Berhad,RM61.18,200 units,3 days,chia.ccmberhad@outlook.com,Bangladesh
Pharmaniaga,RM38.68,100 units,7 days,sales.pharmaniaga@outlook.com,Myanmar
Apex Healthcare,RM79.53,50 units,9 days,sales.apexhealthcare@outlook.com,Germany
Hovid,RM28.81,100 units,5 days,wong.hovid@gmail.com,Philippines
Apex Healthcare,RM40.47,50 units,4 days,subramaniam.apexhealthcare@gmail.com,Kazakhstan
Kotra Pharma,RM23.81,200 units,3 days,sales.kotrapharma@yahoo.com,Malaysia
Pharmaniaga,RM43.27,50 units,6 days,sales.pharmaniaga@gmail.com,Vietnam
CCM Berhad,RM50.68,50 units,6 days,sales.ccmberhad@gmail.com,Philippines
CCM Berhad,RM26.69,200 units,9 days,aziz.ccmberhad@yahoo.com,China
Hovid,RM100.81,100 units,4 days,sales.hovid@gmail.com,Philippines
Pharmaniaga,RM12.14,200 units,8 days,ramasamy.pharmaniaga@outlook.com,Malaysia
Kotra Pharma,RM78.10,100 units,3 days,tan.kotrapharma@gmail.com,Malaysia
Apex Healthcare,RM38.12,50 units,3 days,sales.apexhealthcare@outlook.com,Bangladesh
Kotra Pharma,RM117.43,200 units,7 days,sales.kotrapharma@yahoo.com,Myanmar
CCM Berhad,RM90.09,200 units,4 days,subramaniam.ccmberhad@outlook.com,Malaysia
CCM Berhad,RM91.63,50 units,7 days,ramasamy.ccmberhad@gmail.com,China
Hovid,RM63.90,50 units,8 days,sales.hovid@yahoo.com,Nepal
Hovid,RM78.35,50 units,4 days,ramasamy.hovid@gmail.com,Malaysia
